House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,Term Addr,DA/PSA,CLLI8,NPANNX,ADDR_ID,NSP_INQ_ID,LU_ID,DA_Ready,Granite Qual - Bit 15 BO Type,Op Ready,OVALS Qual,Forced Ind,Working TN Status
"100","BLACKFIN CV","SLIDELL","70458","","","","","","","F 200 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7TEJ""","=""F107b2812fb""","=""1D8OH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"101","BLACKFIN CV","SLIDELL","70458","","","","","","","F 103 INTREPID DR","611302","SLIDLAMA","985641","=""00000O89T9""","=""F107b28677b""","=""1V1D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"102","BLACKFIN CV","SLIDELL","70458","","","","","","","F 102 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7PWW""","=""F107b28404f""","=""1MQ71""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"104","BLACKFIN CV","SLIDELL","70458","","","","","","","F 102 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O80GH""","=""N124955cd631""","=""1JFM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"106","BLACKFIN CV","SLIDELL","70458","","","","","","","F 106 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7ZL7""","=""F107b27f999""","=""181D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"107","BLACKFIN CV","SLIDELL","70458","","","","","","","F 111 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7ZKS""","=""N124955cdeac""","=""1LFM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"108","BLACKFIN CV","SLIDELL","70458","","","","","","","F 110 BLACKFIN CV","611302","SLIDLAMA","985641","=""000110INT7""","=""Le06c2c17d""","=""1KNUE.1""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"109","BLACKFIN CV","SLIDELL","70458","","","","","","","F 200 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7YQS""","=""N124955ceeb0""","=""1PFM5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"110","BLACKFIN CV","SLIDELL","70458","","","","","","","F 110 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7OV7""","=""F107b28569a""","=""1RFM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"112","BLACKFIN CV","SLIDELL","70458","","","","","","","F 110 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7SOV""","=""N12a035c36e5""","=""18MH61.P""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"114","BLACKFIN CV","SLIDELL","70458","","","","","","","F 114 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7YAP""","=""F107b27e3f5""","=""13GM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"116","BLACKFIN CV","SLIDELL","70458","","","","","","","F 114 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7SLW""","=""F107b27ed7f""","=""15GM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"117","BLACKFIN CV","SLIDELL","70458","","","","","","","F 119 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O82UF""","=""F107b27f726""","=""17GM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"118","BLACKFIN CV","SLIDELL","70458","","","","","","","F 118 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7OPF""","=""F107b2800b6""","=""19GM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"119","BLACKFIN CV","SLIDELL","70458","","","","","","","F 119 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O81T5""","=""F107b280ab2""","=""1BGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"120","BLACKFIN CV","SLIDELL","70458","","","","","","","F 118 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7V25""","=""F107b284152""","=""1N1D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"122","BLACKFIN CV","SLIDELL","70458","","","","","","","F 122 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7U9D""","=""F107b282e48""","=""1J1D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"123","BLACKFIN CV","SLIDELL","70458","","","","","","","F 123 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O811T""","=""F107b281db1""","=""1FGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"124","BLACKFIN CV","SLIDELL","70458","","","","","","","F 126 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7RXU""","=""F107b285349""","=""1QQ71""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"125","BLACKFIN CV","SLIDELL","70458","","","","","","","F 123 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7W0Y""","=""F107b27e0be""","=""12R71""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"126","BLACKFIN CV","SLIDELL","70458","","","","","","","F 126 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7WPP""","=""N124955ced2c""","=""1HGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"127","BLACKFIN CV","SLIDELL","70458","","","","","","","F 127 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7T98""","=""F107b2830bb""","=""1JGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"128","BLACKFIN CV","SLIDELL","70458","","","","","","","F 126 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7X8S""","=""F107b28546a""","=""1R1D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"129","BLACKFIN CV","SLIDELL","70458","","","","","","","F 127 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O831G""","=""F107b283a1a""","=""1LGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"130","BLACKFIN CV","SLIDELL","70458","","","","","","","F 130 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7PIO""","=""F107b281b3c""","=""1F1D6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"131","BLACKFIN CV","SLIDELL","70458","","","","","","","F 131 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7UBS""","=""F107b28438f""","=""1NGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic","Y"
"133","BLACKFIN CV","SLIDELL","70458","","","","","","","F 130 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7XT9""","=""F107b286671""","=""1UQ71""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"200","BLACKFIN CV","SLIDELL","70458","","","","","","","F 200 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7MM6""","=""N12833dfabad""","=""13R951.1""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"202","BLACKFIN CV","SLIDELL","70458","","","","","","","F 204 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O82BN""","=""F107b2856cb""","=""1RGM5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"203","BLACKFIN CV","SLIDELL","70458","","","","","","","F 104 INTREPID DR","611302","SLIDLAMA","985641","=""00000O7PV7""","=""F107b286020""","=""1TGM5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"204","BLACKFIN CV","SLIDELL","70458","","","","","","","F 204 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7XQN""","=""F107b2869b7""","=""1VGM5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"206","BLACKFIN CV","SLIDELL","70458","","","","","","","F 210 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7TH6""","=""F107b28154d""","=""1DOKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"208","BLACKFIN CV","SLIDELL","70458","","","","","","","F 210 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O828G""","=""F107b282852""","=""1HOKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"210","BLACKFIN CV","SLIDELL","70458","","","","","","","F 210 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O83WC""","=""F107b284a63""","=""1OULH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"211","BLACKFIN CV","SLIDELL","70458","","","","","","","F 215 BLACKFIN CV","611302","SLIDLAMA","985641","=""00010YWNDP""","=""Lca348238c""","=""1G9TD.5""","FTTN","Not Ready","FTTN","","",""
"212","BLACKFIN CV","SLIDELL","70458","","","","","","","F 214 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7TY1""","=""F107b27f74f""","=""17HM5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"213","BLACKFIN CV","SLIDELL","70458","","","","","","","F 215 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7PU9""","=""F107b27f00f""","=""160MH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"214","BLACKFIN CV","SLIDELL","70458","","","","","","","F 214 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O8436""","=""F107b2842aa""","=""1NA83""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"215","BLACKFIN CV","SLIDELL","70458","","","","","","","F 215 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7TGN""","=""F107b27f3c3""","=""16PKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"216","BLACKFIN CV","SLIDELL","70458","","","","","","","F 218 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7SRI""","=""F107b280205""","=""19OKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"217","BLACKFIN CV","SLIDELL","70458","","","","","","","F 219 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O82XL""","=""F107b27d3ac""","=""100MH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"218","BLACKFIN CV","SLIDELL","70458","","","","","","","F 218 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O824D""","=""F107b27eec1""","=""15OKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"220","BLACKFIN CV","SLIDELL","70458","","","","","","","F 220 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7QDB""","=""F107b286127""","=""1TNKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"221","BLACKFIN CV","SLIDELL","70458","","","","","","","F 223 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7RQI""","=""F107b28626d""","=""1TVLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"222","BLACKFIN CV","SLIDELL","70458","","","","","","","F 220 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7ZCS""","=""F107b27dbab""","=""11OKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"223","BLACKFIN CV","SLIDELL","70458","","","","","","","F 223 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7U05""","=""F107b27fd27""","=""18PS5.4""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"224","BLACKFIN CV","SLIDELL","70458","","","","","","","F 226 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7RO7""","=""F107b280b9f""","=""1BMD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"225","BLACKFIN CV","SLIDELL","70458","","","","","","","F 227 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7UBP""","=""F107b2845cc""","=""1NVLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"226","BLACKFIN CV","SLIDELL","70458","","","","","","","F 226 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7R5N""","=""F107b284e1b""","=""1PNKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"227","BLACKFIN CV","SLIDELL","70458","","","","","","","F 227 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7ORU""","=""F107b285422""","=""1QVLH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"228","BLACKFIN CV","SLIDELL","70458","","","","","","","F 230 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7ZBX""","=""F107b27e4da""","=""13MD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"230","BLACKFIN CV","SLIDELL","70458","","","","","","","F 230 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7Y2I""","=""F107b27f7fe""","=""17MD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"231","BLACKFIN CV","SLIDELL","70458","","","","","","","F 231 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7RHN""","=""F107b286642""","=""1UOKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"232","BLACKFIN CV","SLIDELL","70458","","","","","","","F 234 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7NR0""","=""F107b286a62""","=""1VLD6""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"233","BLACKFIN CV","SLIDELL","70458","","","","","","","F 237 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O81SE""","=""F107b281afc""","=""1EVLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"234","BLACKFIN CV","SLIDELL","70458","","","","","","","F 234 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O80LL""","=""F107b283c50""","=""1LULH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"236","BLACKFIN CV","SLIDELL","70458","","","","","","","F 238 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O80S2""","=""F107b281fd5""","=""1FULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"237","BLACKFIN CV","SLIDELL","70458","","","","","","","F 237 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7XUK""","=""F107b282971""","=""1HVLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"238","BLACKFIN CV","SLIDELL","70458","","","","","","","F 238 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O80KX""","=""F107b282de6""","=""1IULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"240","BLACKFIN CV","SLIDELL","70458","","","","","","","F 242 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O818Z""","=""F107b28030e""","=""19ULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"242","BLACKFIN CV","SLIDELL","70458","","","","","","","F 242 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7U0E""","=""F107b28117f""","=""1CULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"244","BLACKFIN CV","SLIDELL","70458","","","","","","","F 246 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O80RV""","=""F107b27e615""","=""13ULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"245","BLACKFIN CV","SLIDELL","70458","","","","","","","F 245 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7SCB""","=""F107b280cfc""","=""1BVLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"248","BLACKFIN CV","SLIDELL","70458","","","","","","","F 250 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7QGZ""","=""F107b285786""","=""1RLD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"250","BLACKFIN CV","SLIDELL","70458","","","","","","","F 250 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7T5V""","=""F107b284449""","=""1NLD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"251","BLACKFIN CV","SLIDELL","70458","","","","","","","F 251 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7OKB""","=""F107b27efeb""","=""15VLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"252","BLACKFIN CV","SLIDELL","70458","","","","","","","F 254 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O823G""","=""F107b28197f""","=""1ELD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"253","BLACKFIN CV","SLIDELL","70458","","","","","","","F 255 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7YIP""","=""F107b284013""","=""1MOKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"254","BLACKFIN CV","SLIDELL","70458","","","","","","","F 254 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7T02""","=""F107b283159""","=""1JLD6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"255","BLACKFIN CV","SLIDELL","70458","","","","","","","F 255 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7YIB""","=""F107b28530d""","=""1QOKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"256","BLACKFIN CV","SLIDELL","70458","","","","","","","F 256 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7PRX""","=""F107b28621d""","=""1TTLH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"257","BLACKFIN CV","SLIDELL","70458","","","","","","","F 258 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O7Q6A""","=""F107b2858ff""","=""1RULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"258","BLACKFIN CV","SLIDELL","70458","","","","","","","F 256 BLACKFIN CV","611302","SLIDLAMA","985641","=""00000O81BU""","=""F107b27d803""","=""10ULH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"100","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 106 CHARLES CT","611302","SLIDLAMA","985641","=""00000O7ZR6""","=""F107b28414e""","=""1N193.E""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"101","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 101 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O8162""","=""F107b283a87""","=""1LJ53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"102","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 104 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7XKL""","=""F107b27d647""","=""10J53""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"103","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 105 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7ZT5""","=""F107b285334""","=""1QPKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"104","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 104 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7MK9""","=""F107b281a25""","=""1EPKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"105","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 105 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O83VK""","=""F107b27d766""","=""10QKH""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"106","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 108 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7S9A""","=""F107b285228""","=""1QI53""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"107","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 109 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7NG4""","=""F107b281e18""","=""1FJ53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"108","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 108 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7NMM""","=""F107b28604d""","=""1TI53""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"109","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 109 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7P9R""","=""F107b282c63""","=""1IJ53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"110","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 112 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O83MK""","=""F107b2843c8""","=""1NI53""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"111","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 113 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7N9R""","=""F107b280123""","=""19J53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"112","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 116 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7XMZ""","=""F107b280716""","=""1APKH""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"113","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 113 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O810D""","=""F107b280fdd""","=""1CJ53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"115","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 117 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O7TR0""","=""F107b27f2d8""","=""16J53""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"116","BRUSHFIRE LN","SLIDELL","70458","","","","","","","F 116 BRUSHFIRE LN","611302","SLIDLAMA","985641","=""00000O80IK""","=""F107b28359e""","=""1KI53""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
